lat,lon,cdi_value,cdi_class,severity,date
18.625,75.125,1.8612,None,0,2024-08-14
18.625,75.375,1.235,None,0,2024-08-14
18.625,75.625,0.27015,None,0,2024-08-14
18.625,75.875,0.10583,None,0,2024-08-14
18.625,76.125,0.48345,None,0,2024-08-14
18.625,76.375,0.36378,None,0,2024-08-14
18.625,76.625,0.72181,None,0,2024-08-14
18.625,76.875,0.40656,None,0,2024-08-14
18.625,77.125,0.50615,None,0,2024-08-14
18.625,77.375,0.33882,None,0,2024-08-14
18.625,77.625,0.49584,None,0,2024-08-14
18.625,77.875,0.40888,None,0,2024-08-14
18.875,74.625,0.74084,None,0,2024-08-14
18.875,74.875,1.2458,None,0,2024-08-14
18.875,75.125,0.24243,None,0,2024-08-14
18.875,75.375,0.094626,None,0,2024-08-14
18.875,75.625,-0.21432,None,0,2024-08-14
18.875,75.875,-0.047975,None,0,2024-08-14
18.875,76.125,0.90097,None,0,2024-08-14
18.875,76.375,0.54687,None,0,2024-08-14
18.875,76.625,1.1607,None,0,2024-08-14
18.875,76.875,-0.016905,None,0,2024-08-14
18.875,77.125,0.1473,None,0,2024-08-14
18.875,77.375,-0.44686,None,0,2024-08-14
18.875,77.625,0.59088,None,0,2024-08-14
18.875,77.875,1.1438,None,0,2024-08-14
19.125,74.625,0.60322,None,0,2024-08-14
19.125,74.875,2.127,None,0,2024-08-14
19.125,75.125,0.70283,None,0,2024-08-14
19.125,75.375,-0.30822,None,0,2024-08-14
19.125,75.625,-0.26311,None,0,2024-08-14
19.125,75.875,0.50289,None,0,2024-08-14
19.125,76.125,0.65658,None,0,2024-08-14
19.125,76.375,0.088207,None,0,2024-08-14
19.125,76.625,0.074568,None,0,2024-08-14
19.125,76.875,-0.71803,D1,2,2024-08-14
19.125,77.125,0.43592,None,0,2024-08-14
19.125,77.375,-0.25376,None,0,2024-08-14
19.125,77.625,0.018033,None,0,2024-08-14
19.125,77.875,0.50967,None,0,2024-08-14
19.375,74.625,0.60513,None,0,2024-08-14
19.375,74.875,0.91651,None,0,2024-08-14
19.375,75.125,-0.34291,None,0,2024-08-14
19.375,75.375,-0.44339,None,0,2024-08-14
19.375,75.625,-0.28326,None,0,2024-08-14
19.375,75.875,0.11765,None,0,2024-08-14
19.375,76.125,0.41372,None,0,2024-08-14
19.375,76.375,0.058538,None,0,2024-08-14
19.375,76.625,-0.8125,D1,2,2024-08-14
19.375,76.875,-1.0983,D1,2,2024-08-14
19.375,77.125,-0.44713,None,0,2024-08-14
19.375,77.375,-0.23664,None,0,2024-08-14
19.375,77.625,-0.29278,None,0,2024-08-14
19.375,77.875,0.51105,None,0,2024-08-14
19.625,74.625,0.42797,None,0,2024-08-14
19.625,74.875,0.22016,None,0,2024-08-14
